sas_column,worksheet,worksheet_code,line_raw,line,col_raw,col,line_name,col_name,category,subcategory,data_type,status
rpt_rec_num,,,,,,,Report Record Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
prvdr_num,,,,,,,Hospital Provider Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_num,,,,,,,Fiscal Intermediary Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
rpt_stus_cd,,,,,,,Report Status Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_creat_dt,,,,,,,Fiscal Intermediary/MAC Create Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_bgn_dt,,,,,,,Fiscal Year Begin Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_end_dt,,,,,,,Fiscal Year End Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
util_cd,,,,,,,"Utilization Code (F=Full, L=Low Medicare)",,,,ID,ID_FIELD
trnsmtl_num,,,,,,,Transmittal Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
proc_dt,,,,,,,Processing Date,,,,ID,ID_FIELD
msa,,,,,,,Metropolitan Statistical Area Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
_NAME_,,,,,,,SAS Internal Row Identifier,,,,ID,ID_FIELD
A7_1_C1_1,"A-7, Part I: Capital Assets",A700001,00100,1,00100,1,Land,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Beginning Balances,NUMERIC,COMPLETE
A7_1_C2_1,"A-7, Part I: Capital Assets",A700001,00100,1,00200,2,Land,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Purchases,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Purchases,NUMERIC,COMPLETE
A7_1_C3_1,"A-7, Part I: Capital Assets",A700001,00100,1,00300,3,Land,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations,NUMERIC,COMPLETE
A7_1_C5_1,"A-7, Part I: Capital Assets",A700001,00100,1,00500,5,Land,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Disposals and Retirements,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C7_1,"A-7, Part I: Capital Assets",A700001,00100,1,00700,7,Land,Accumulated Depreciation,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Disposals and Retirements,NUMERIC,COMPLETE
A7_1_C1_2,"A-7, Part I: Capital Assets",A700001,00200,2,00100,1,Land Improvements,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Beginning Balances,NUMERIC,COMPLETE
