worksheet_name,worksheet_code,column_num,column_header
"A-7, Part I: Capital Assets",A700001,00100,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Beginning Balances
"A-7, Part I: Capital Assets",A700001,00200,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Purchases
"A-7, Part I: Capital Assets",A700001,00400,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Fully Depreciated Assets
"A-7, Part I: Capital Assets",A700001,00500,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Disposals and Retirements
"A-7, Part I: Capital Assets",A700001,00600,ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES - Fully Depreciated Assets
"A-7, Part III: Capital Assets",A700003,00500,RECONCILIATION OF CAPITAL COST CENTERS - Insurance
"A-7, Part III: Capital Assets",A700003,00600,RECONCILIATION OF CAPITAL COST CENTERS - Taxes
"A-7, Part III: Capital Assets",A700003,00700,RECONCILIATION OF CAPITAL COST CENTERS - Other Capital Related Costs
"A-7, Part III: Capital Assets",A700003,00900,RECONCILIATION OF CAPITAL COST CENTERS - Depreciation
"A-7, Part III: Capital Assets",A700003,01000,RECONCILIATION OF CAPITAL COST CENTERS - Lease
"A-7, Part III: Capital Assets",A700003,01100,RECONCILIATION OF CAPITAL COST CENTERS - Interest
"A-7, Part III: Capital Assets",A700003,01500,RECONCILIATION OF CAPITAL COST CENTERS - Total
"B, Part II: Cost Allocation",B000002,00000,ALLOCATION OF NEW CAPITAL COSTS - TOTAL CAPITAL COSTS AFTER COST ALLOCATION
"B, Part II: Cost Allocation",B000002,02600,ALLOCATION OF NEW CAPITAL COSTS - TOTAL CAPITAL COSTS AFTER COST ALLOCATION
"C, Part I: Ancillary & Outpatient Cost",C000001,00300,COMPUTATION OF RATIO OF COST TO CHARGES
"C, Part I: Ancillary & Outpatient Cost",C000001,00800,COMPUTATION OF RATIO OF COST TO CHARGES
C000002,C000002,00400,COMPUTATION OF OUTPATIENT SERVICE COST TO CHARGE RATIOS NET OF REDUCTIONS
C000002,C000002,00500,COMPUTATION OF OUTPATIENT SERVICE COST TO CHARGE RATIOS NET OF REDUCTIONS
"D, Part III: Apportionment - Hospital",D00A183,00200,APPORTIONMENT OF INPATIENT ROUTINE SERVICE OTHER PASS THROUGH COSTS
"D, Part III: Apportionment - Hospital",D00A183,00300,APPORTIONMENT OF INPATIENT ROUTINE SERVICE OTHER PASS THROUGH COSTS
"D, Part III: Apportionment - Hospital",D00A183,00500,APPORTIONMENT OF INPATIENT ROUTINE SERVICE OTHER PASS THROUGH COSTS
"D, Part III: Apportionment - Hospital",D00A183,00600,APPORTIONMENT OF INPATIENT ROUTINE SERVICE OTHER PASS THROUGH COSTS
"D, Part III: Apportionment - Hospital",D00A183,00800,APPORTIONMENT OF INPATIENT ROUTINE SERVICE OTHER PASS THROUGH COSTS
"D, Part III: Apportionment - Hospital",D00A183,00900,APPORTIONMENT OF INPATIENT ROUTINE SERVICE OTHER PASS THROUGH COSTS
"D, Part IV: Apportionment - Hospital",D00A184,00600,APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS
"D, Part IV: Apportionment - IPF",D00B184,00600,APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS
"D, Part IV: Apportionment - IRF",D00C184,00600,APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS
"D, Part IV: Apportionment - Subprovider 1",D01D184,00600,APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS
"D, Part IV: Apportionment - Subprovider 2",D02D184,00600,APPORTIONMENT OF INPATIENT/OUTPATIENT ANCILLARY SERVICE OTHER PASS THROUGH COSTS
"D, Part V: Apportionment - Hospital",D00A185,00200,APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES - PPS REIMBURSED SERVICES -  CHARGES
"D, Part V: Apportionment - Hospital",D00A185,00300,APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES - COST REIMBURSED SERVICES SUBJECT TO DEDUCTIBLES  AND COINSURANCE - CHARGES
"D, Part V: Apportionment - Hospital",D00A185,00400,APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES - COST REIMBURSED SERVICES NOT SUBJECT TO DEDUCTIBLES AND COINSURANCE - CHARGES
"D, Part V: Apportionment - Hospital",D00A185,00500,APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES - PPS SERVICES COST
"D, Part V: Apportionment - Hospital",D00A185,00600,APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES - COST SERVICES SUBJECT TO DEDUCTIBLES AND COINSURANCE - COST
"D, Part V: Apportionment - Hospital",D00A185,00700,APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES - COST SERVICES NOT SUBJECT TO DEDUCTIBLES AND COINSURANCE - COST
D-1: Apportionment - Hospital (Old Age),D10A181,00500,COMPUTATION OF INPATIENT OPERATING COSTS
D-4: Organ Acquisition - Heart,D4H0000,00100,
D-4: Organ Acquisition - Intestine,D4I0000,00100,STATEMENT OF REVENUES AND EXPENSES
D-4: Organ Acquisition - Islet,D4S0000,00100,
D-4: Organ Acquisition - Kidney,D4K0000,00100,
D-4: Organ Acquisition - Liver,D4L0000,00100,
D-4: Organ Acquisition - Lung,D4P0000,00100,
D-4: Organ Acquisition - Pancreas,D4N0000,00100,
D10B181,D10B181,00100,COMPUTATION OF INPATIENT OPERATING COSTS - General Inpatient Routine Service Cost
D10C181,D10C181,00100,COMPUTATION OF INPATIENT OPERATING COSTS - General Inpatient Routine Service Cost
D10E181,D10E181,00100,COMPUTATION OF INPATIENT OPERATING COSTS - General Inpatient Routine Service Cost
D11D181,D11D181,00100,COMPUTATION OF INPATIENT OPERATING COSTS - General Inpatient Routine Service Cost
D12D181,D12D181,00100,COMPUTATION OF INPATIENT OPERATING COSTS - General Inpatient Routine Service Cost
"E, Part A: Settlement - Hospital",E00A18A,00101,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS)
"E, Part A: Settlement - Hospital",E00A18A,00200,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS)
"E, Part B: Settlement - Hospital",E00A18B,00101,CALCULATION OF REIMBURSEMENT SETTLEMENT
"E-1, Part II: Settlement",E10A182,00100,CALCULATION OF REIMBURSEMENT SETTLEMENT
E-2: Swing Bed SNF,E20F180,00100,CALCULATION OF REIMBURSEMENT SETTLEMENT
From OSCAR,From OSCAR,,
"H-3, Part I: HHA 1",H310181,00500,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 1",H310181,00600,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 1",H310181,00700,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 1",H310181,00900,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 1",H310181,01000,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 1",H310181,01100,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 2",H320181,00500,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 2",H320181,00600,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 2",H320181,00700,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 2",H320181,00900,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 2",H320181,01000,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 2",H320181,01100,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 3",H330181,00500,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 3",H330181,00600,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 3",H330181,00700,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 3",H330181,00900,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 3",H330181,01000,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 3",H330181,01100,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 4",H340181,00500,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 4",H340181,00600,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 4",H340181,00700,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 4",H340181,00900,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 4",H340181,01000,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 4",H340181,01100,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 5",H350181,00500,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 5",H350181,00600,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 5",H350181,00700,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 5",H350181,00900,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 5",H350181,01000,STATEMENT OF REVENUES AND EXPENSES
"H-3, Part I: HHA 5",H350181,01100,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 1",H410182,00100,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 1",H410182,00200,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 2",H420182,00100,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 2",H420182,00200,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 3",H430182,00100,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 3",H430182,00200,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 4",H440182,00100,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 4",H440182,00200,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 5",H450182,00100,STATEMENT OF REVENUES AND EXPENSES
"H-4, Part II: HHA 5",H450182,00200,STATEMENT OF REVENUES AND EXPENSES
"L, Part I: Hospital",L00A181,00101,STATEMENT OF REVENUES AND EXPENSES
"L, Part II: Hospital",L00A182,00100,STATEMENT OF REVENUES AND EXPENSES
"L, Part III: Hospital",L00A183,00100,STATEMENT OF REVENUES AND EXPENSES
S-10: Uncompensated/Indigent Care,S100000,00300,S-10 DATA
"S-3, Part V: Utilization Data",S300005,00100,HOSPITAL CONTRACT LABOR AND BENEFIT COST
"S-3, Part V: Utilization Data",S300005,00200,HOSPITAL CONTRACT LABOR AND BENEFIT COST
S300003,S300003,00100,HOSPITAL WAGE INDEX DATA - AMOUNT REPORTED
S300003,S300003,00200,HOSPITAL WAGE INDEX DATA - AMOUNT REPORTED
S300003,S300003,00400,HOSPITAL WAGE INDEX DATA - ADJUSTED SALARIES
S300003,S300003,00500,HOSPITAL WAGE INDEX DATA - PAID HOURS RELATED TO SALARIES
S300003,S300003,00600,HOSPITAL WAGE INDEX DATA - AVERAGE HOURLY WAGE
S400000,S400000,00100,HHA STATISTICAL DATA - HHA X
S400000,S400000,00200,HHA STATISTICAL DATA - HHA X
S400000,S400000,00300,HHA STATISTICAL DATA - HHA X
S400000,S400000,00400,HHA STATISTICAL DATA - HHA X
S400000,S400000,00500,HHA STATISTICAL DATA - HHA X
S410000,S410000,00100,HHA STATISTICAL DATA - HHA I
S410000,S410000,00200,HHA STATISTICAL DATA - HHA I
S410000,S410000,00300,HHA STATISTICAL DATA - HHA I
S410000,S410000,00400,HHA STATISTICAL DATA - HHA I
S410000,S410000,00500,HHA STATISTICAL DATA - HHA I
S420000,S420000,00100,HHA STATISTICAL DATA - HHA II
S420000,S420000,00200,HHA STATISTICAL DATA - HHA II
S420000,S420000,00300,HHA STATISTICAL DATA - HHA II
S420000,S420000,00400,HHA STATISTICAL DATA - HHA II
S420000,S420000,00500,HHA STATISTICAL DATA - HHA II
S430000,S430000,00100,HHA STATISTICAL DATA - HHA III
S430000,S430000,00200,HHA STATISTICAL DATA - HHA III
S430000,S430000,00300,HHA STATISTICAL DATA - HHA III
S430000,S430000,00400,HHA STATISTICAL DATA - HHA III
S430000,S430000,00500,HHA STATISTICAL DATA - HHA III
S440000,S440000,00100,HHA STATISTICAL DATA - HHA IV
S440000,S440000,00200,HHA STATISTICAL DATA - HHA IV
S440000,S440000,00300,HHA STATISTICAL DATA - HHA IV
S440000,S440000,00400,HHA STATISTICAL DATA - HHA IV
S440000,S440000,00500,HHA STATISTICAL DATA - HHA IV
S450000,S450000,00100,HHA STATISTICAL DATA - HHA V
S450000,S450000,00200,HHA STATISTICAL DATA - HHA V
S450000,S450000,00300,HHA STATISTICAL DATA - HHA V
S450000,S450000,00400,HHA STATISTICAL DATA - HHA V
