worksheet_name,line_num,line_description,example_sas_column,current_description
,1,,E1_1_HOS_C4_1,Hospital | Line 1 | Col 4
,101,,L_1_HOS_C101_101,Hospital | Line 1.01 | Col 101
,102,,E3_4_HOS_C1_102,Hospital | Line 1.02 | Col 1
,103,,E3_4_HOS_C1_103,Hospital | Line 1.03 | Col 1
,104,,E3_4_HOS_C1_104,Hospital | Line 1.04 | Col 1
,12,,L_1_HOS_C1_12,Hospital | Line 12 | Col 1
,16,,H3_1_HHA1_C11_16,Home Health Agency 1 | Line 16 | Col 11
,203,,E_A_HOS_C101_203,Hospital | Line 2.03 | Col 101
,204,,E_A_HOS_C101_204,Hospital | Line 2.04 | Col 101
,2150,,E3_4_HOS_C1_2150,Hospital | Line 21.50 | Col 1
,2199,,E3_4_HOS_C1_2199,Hospital | Line 21.99 | Col 1
,2850,,E_B_HOS_C1_2850,Hospital | Line 28.50 | Col 1
,2901,,E_A_HOS_C101_2901,Hospital | Line 29.01 | Col 101
,47,,D1_HOS_C1_47,Hospital | Line 47 | Col 1
,9,,H4_1_HHA1_C1_9,Home Health Agency 1 | Line 9 | Col 1
"D, Part II: Apportionment - Hospital",5000,,D_2_HOS_C5_50,Hospital | Line 50 | Col 5
"D, Part II: Apportionment - Hospital",5100,,D_2_HOS_C5_51,Hospital | Line 51 | Col 5
"D, Part II: Apportionment - Hospital",5200,,D_2_HOS_C5_52,Hospital | Line 52 | Col 5
"D, Part II: Apportionment - Hospital",5300,,D_2_HOS_C5_53,Hospital | Line 53 | Col 5
"D, Part II: Apportionment - Hospital",5400,,D_2_HOS_C5_54,Hospital | Line 54 | Col 5
"D, Part II: Apportionment - Hospital",5500,,D_2_HOS_C5_55,Hospital | Line 55 | Col 5
"D, Part II: Apportionment - Hospital",5600,,D_2_HOS_C5_56,Hospital | Line 56 | Col 5
"D, Part II: Apportionment - Hospital",5700,,D_2_HOS_C5_57,Hospital | Line 57 | Col 5
"D, Part II: Apportionment - Hospital",5800,,D_2_HOS_C5_58,Hospital | Line 58 | Col 5
"D, Part II: Apportionment - Hospital",5900,,D_2_HOS_C5_59,Hospital | Line 59 | Col 5
"D, Part II: Apportionment - Hospital",6000,,D_2_HOS_C5_60,Hospital | Line 60 | Col 5
"D, Part II: Apportionment - Hospital",6100,,D_2_HOS_C5_61,Hospital | Line 61 | Col 5
