sas_column,description,data_type,worksheet_code,worksheet_name,line_num,column_num,column_header,category,subcategory
rpt_rec_num,Report Record Number,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
prvdr_num,Hospital Provider Number,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
fi_num,Fiscal Intermediary Number,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
rpt_stus_cd,Report Status Code,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
fi_creat_dt,Fiscal Intermediary/MAC Create Date,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
fy_bgn_dt,Fiscal Year Begin Date,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
fy_end_dt,Fiscal Year End Date,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
util_cd,"Utilization Code (F=Full, L=Low Medicare)",ID,,,,,,nan,nan
trnsmtl_num,Transmittal Number,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
state,SSA State Code,ID,From OSCAR,From OSCAR,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
st_cty_cd,SSA State County Code,ID,From OSCAR,From OSCAR,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
census,Census Division Code,ID,From OSCAR,From OSCAR,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
region,CMS Region Code,ID,From OSCAR,From OSCAR,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
sub3,Subprovider III Indicator,ID,SAS CODE,SAS CODE,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
proc_dt,Processing Date,ID,,,,,,nan,nan
msa,Metropolitan Statistical Area Code,ID,,,,,,HOSPITAL IDENTIFICATION INFORMATION,nan
A7_1_C3_1,Land,NUMERIC,A700001,"A-7, Part I: Capital Assets",00100,00300,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations
A7_1_C3_2,Land Improvements,NUMERIC,A700001,"A-7, Part I: Capital Assets",00200,00300,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations
A7_1_C3_3,Buildings and Fixtures,NUMERIC,A700001,"A-7, Part I: Capital Assets",00300,00300,Cost of Assets (Historical),ANALYSIS OF CHANGES IN NEW CAPITAL BALANCES,Donations
